Sections
CRN,Sub,Num,Seq,Crd,Desc,Seats,Waitlist,Days,Time,Room,Faculty,Current Workload
71464,INFS,890,D01,1,Seminar,19/25,0,W,1100-1150,East Hall 201,,5
74260,CSC,482,D01,3,Algorithms and Optimization,13/25,0,TuTh,1600-1715,East Hall 003,,5
75713,CLI,242,D01,3,Cyber Social Science Method and Analysis,13/13,0,MWF,0900-0950,Tunheim Classroom Building 111,,5
73912,CSC,314,D01,3,Assembly Language,3/25,0,MWF,1400-1450,East Hall 100,,5
74438,MATH,281,D01,3,Introduction to Statistics,17/35,0,TuTh,1300-1415,Tunheim Classroom Building 203,,5
73642,CSC,105,D06,3,Introduction to Computers,24/24,0,TuTh,0800-0915,Beacom Institute of Technology 112,,5
70828,ARTD,185,D01,3,Introduction to Animation,25/30,0,MW,1400-1515,Beacom Institute of Technology 114,,5
70785,BIOL,151,D01,3,General Biology I,54/60,0,MWF,1100-1150,Ruth Habeger Science Center 135,,5
80691,PSYC,101,D02,3,General Psychology,21/25,0,MWF,1400-1450,Kennedy Center 104,,5
73954,MUS,100,D01,3,Music Appreciation,21/30,0,Tu,1100-1215,Ruth Habeger Science Center 135,,5
77880,BIOL,221,D01,3,Human Anatomy,11/48,0,MWF,1100-1150,Tunheim Classroom Building 203,,5
80707,BIOL,211L,D01,1,Lab: Environmental Biology,25/25,0,M,1300-1450,Ruth Habeger Science Center 109,,5
77839,ENGL,101,DK3,3,Composition I,10/12,0,MWF,1400-1450,Beadle Hall 205,,5
75757,CSC,300,D05,3,Data Structures,16/25,0,MWF,0800-0850,East Hall 003,,5
79231,GEOG,132,DH1,3,Physical Geography: Natural Landscapes,18/20,0,MWF,1400-1450,Ruth Habeger Science Center 121,,5
73575,SOC,100,D01,3,Introduction to Sociology,20/25,0,TuTh,1300-1415,Beadle Hall 206,,5
73568,SEED,303,D01,1,Sec/Mid Content Area: Math,15/15,0,F,0800-0850,Kennedy Center 105,,5
79214,ARTD,442,D01,3,2D Digital Animation III,18/25,0,TuTh,1100-1215,Kennedy Center 112,,5
77192,MATH,114,D03,3,College Algebra,32/35,0,TuTh,0930-1045,Ruth Habeger Science Center 114,,5
74934,CSC,163,D01,3,Hardware Virtualization and Data Communication,17/25,0,MWF,0800-0850,East Hall 018,,5
74119,CSC,428,D02,3,Reverse Engineering,0/25,0,TuTh,1430-1545,Beacom Institute of Technology 231,,5
74439,PE,354,D01,3,Prevention and Care of Athletic Injuries,6/25,0,TuTh,1100-1215,Kennedy Center 122,,5
75725,CMST,101,D03,3,Foundations of Communication,23/24,0,MWF,1100-1150,Beadle Hall 206,,5
71213,DAD,222,D02,3,Audio Production I: Foundations,14/18,0,MWF,0900-0950,Tunheim Classroom Building 209,,5
70730,ENGL,101,D01,3,Composition I,11/12,0,MWF,1000-1050,Beadle Hall 305,,5
72823,CIS,123,D01,3,Problem Solving & Programming,17/25,0,MWF,1400-1450,East Hall 003,,5
72965,CIS,372,D01,3,Programming for Analytics,7/25,0,TuTh,1100-1215,East Hall 003,,5
73856,CSC,150,D06,3,Computer Science I,24/24,0,MWF,1500-1550,Kennedy Center 112,,5
76192,ACCT,210,D02,3,Principles of Accounting I,21/25,0,TuTh,1300-1415,East Hall 003,,5
77905,BADM,201,D01,3,Fundamentals of AI in Organizations,19/25,0,TuTh,0930-1045,Tunheim Classroom Building 111,,5
70773,ENGL,201,D05,3,Composition II,9/24,0,MWF,1000-1050,Beadle Hall 006,,5
70754,ENGL,101,D03,3,Composition I,18/24,0,MWF,1000-1050,Beadle Hall 205,,5
75741,MATH,201,D04,3,Introduction to Discrete Mathematics,17/20,0,MWF,1100-1150,Ruth Habeger Science Center 114,,5
74431,MATH,201,D01,3,Introduction to Discrete Mathematics,18/20,0,MWF,0900-0950,Ruth Habeger Science Center 114,,5
78298,CSC,478,D01,3,Artificial Intelligence Tools and Frameworks,18/25,0,TuTh,1600-1715,East Hall 108,,5
71234,INFS,605,D01,3,Foundations of Programming,24/25,0,Tu,1100-1330,Tunheim Classroom Building 109,,5
79118,INFA,702,D01,3,Introduction to Data Privacy,23/25,0,TuTh,1600-1715,East Hall 010,,5
73894,CSC,250,D01,3,Computer Science II,23/25,0,MWF,1400-1450,East Hall 108,,5
77046,GEOG,131,D01,3,Physical Geography: Weather and Climate,16/25,0,MWF,1200-1250,Ruth Habeger Science Center 121,,5
77948,CSC,247,D01,3,Introduction to Artificial Intelligence,17/25,0,MWF,1500-1550,East Hall 108,,5
79213,ARTD,441,D01,3,3-D Design/Production,17/25,0,TuTh,0800-0915,Beacom Institute of Technology 114,,5
75770,ELED,455,D01,3,Evidence-Based Reading (K-3),20/25,0,MWF,0900-0950,Kennedy Center 105,,5
73631,CSC,105,D02,3,Introduction to Computers,23/24,0,MWF,0900-0950,Beacom Institute of Technology 112,,5
77941,CSC,547,D01,3,Artificial Intelligence,25/25,0,TuTh,1430-1545,Beacom Institute of Technology 233,,5
73061,GS,100,DC2,0 TO 1,University Experience,84/85,0,M,1200-1250,East Hall 100,,5
75727,CMST,101,D05,3,Foundations of Communication,24/24,0,TuTh,1100-1215,Beadle Hall 205,,5
73883,CSC,420,D01,3,Cellular and Mobile Communications,0/25,0,MWF,0900-0950,Beacom Institute of Technology 233,,5
73641,CSC,105,D05,3,Introduction to Computers,24/24,0,MWF,1500-1550,Beacom Institute of Technology 112,,5
70696,BIOL,101L,D01,1,Biology Survey I Lab,18/25,0,Tu,1300-1450,Ruth Habeger Science Center 106,,5
79215,CMST,215,DH2,3,Honors: Public Speaking,23/24,0,MWF,1500-1550,Beadle Hall 205,,5
73645,CSC,105,D08,3,Introduction to Computers,24/24,0,TuTh,1100-1215,Beacom Institute of Technology 112,,5
73559,CHEM,326,D01,3,Organic Chemistry I,4/10,0,MWF,1200-1250,Ruth Habeger Science Center 139,,5
70700,BIOL,101L,D02,1,Biology Survey I Lab,21/25,0,Tu,1030-1225,Ruth Habeger Science Center 106,,5
74408,ART,231,D01,3,Painting I,12/18,0,TuTh,1600-1830,Beadle Hall 302,,5
74051,PHYS,185,D01,2,Solar System Astronomy,13/24,0,MW,1400-1450,Ruth Habeger Science Center 143,,5
79493,SPED,417,D01,3,Vocational-Transitional Programming,22/25,0,TuTh,1100-1215,Kennedy Center 105,,5
70788,BADM,310,D01,3,Business Finance,9/25,0,MWF,0900-0950,East Hall 018,,5
70385,ART,111,D01,3,Drawing I,18/18,0,TuTh,1100-1330,Beadle Hall 302,,5
77090,ENGL,201,D01,3,Composition II,17/24,0,TuTh,1430-1545,Beadle Hall 109,,5
70856,BADM,360,D01,3,Organization and Management,3/25,0,TuTh,0800-0915,East Hall 217,,5
70790,BIOL,151L,D01,1,General Biology I Lab,30/30,0,Th,0800-0950,Ruth Habeger Science Center 109,,5
73884,CSC,420,D02,3,Cellular and Mobile Communications,0/25,1,MWF,1000-1050,Beacom Institute of Technology 233,,5
80698,MATH,413,D01,3,Abstract Algebra I,14/20,0,TuTh,1300-1415,Ruth Habeger Science Center 113,,5
73311,PSYC,101,D01,3,General Psychology,18/25,0,MWF,0900-0950,Kennedy Center 104,,5
76178,ENGL,032,DK1,2,Basic Writing,11/12,0,TuTh,1000-1050,Beadle Hall 010,,5
70761,ENGL,101,D07,3,Composition I,24/24,0,MWF,0900-0950,Beadle Hall 305,,5
74125,CSC,436,D03,3,Offensive Network Security,11/25,0,TuTh,0800-0915,Beacom Institute of Technology 231,,5
75253,CIS,210,D01,1,QuickBooks I,10/25,0,TuTh,1100-1215,East Hall 010,,5
73643,CSC,105,D07,3,Introduction to Computers,24/24,0,TuTh,0930-1045,Beacom Institute of Technology 112,,5
78148,ELED,360,D01,3,K-8 Social Science Methods,8/25,0,MWF,0800-0850,Kennedy Center 117,,5
73041,GAME,444,D01,3,Project Development I,16/24,0,MWF,0800-0850,Beacom Institute of Technology 135,,5
73906,CSC,300,D03,3,Data Structures,23/50,0,MWF,0900-0950,East Hall 100,,5
79494,SPED,460,D01,3,Family Systems and Professional Collaboration,8/25,0,TuTh,1230-1345,Kennedy Center 105,,5
74290,CSC,722,D01,3,Machine Learning Fundamentals,21/25,0,MW,1400-1515,Beacom Institute of Technology 233,,5
71204,HON,102,DH1,1,Introduction to Honors,18/18,0,W,1400-1450,Ruth Habeger Science Center 132,,5
73629,CSC,105,D01,3,Introduction to Computers,24/24,0,MWF,0800-0850,East Hall 108,,5
74951,CSC,234,D05,3,Software Security,13/25,0,TuTh,0930-1045,Beacom Institute of Technology 231,,5
75303,PE,300,D01,3,Applied Sport and Exercise Science,13/25,0,TuTh,0930-1045,Kennedy Center 123,,5
