CRN,Sub,Num,Seq,Crd,Desc,Current Seats,Max Seats,Waitlist,Days,Start Time,End Time,Room,Faculty
71464,INFS,890,D01,1,Seminar,19,25,0,W,11:00,11:50,East Hall 201,
74260,CSC,482,D01,3,Algorithms and Optimization,13,25,0,TuTh,16:00,17:15,East Hall 003,
75713,CLI,242,D01,3,Cyber Social Science Method and Analysis,13,13,0,MWF,09:00,09:50,Tunheim Classroom Building 111,
73912,CSC,314,D01,3,Assembly Language,3,25,0,MWF,14:00,14:50,East Hall 100,
74438,MATH,281,D01,3,Introduction to Statistics,17,35,0,TuTh,13:00,14:15,Tunheim Classroom Building 203,
73642,CSC,105,D06,3,Introduction to Computers,24,24,0,TuTh,08:00,09:15,Beacom Institute of Technology 112,
70828,ARTD,185,D01,3,Introduction to Animation,25,30,0,MW,14:00,15:15,Beacom Institute of Technology 114,
70785,BIOL,151,D01,3,General Biology I,54,60,0,MWF,11:00,11:50,Ruth Habeger Science Center 135,
80691,PSYC,101,D02,3,General Psychology,21,25,0,MWF,14:00,14:50,Kennedy Center 104,
73954,MUS,100,D01,3,Music Appreciation,21,30,0,Tu,11:00,12:15,Ruth Habeger Science Center 135,
77880,BIOL,221,D01,3,Human Anatomy,11,48,0,MWF,11:00,11:50,Tunheim Classroom Building 203,
80707,BIOL,211L,D01,1,Lab: Environmental Biology,25,25,0,M,13:00,14:50,Ruth Habeger Science Center 109,
77839,ENGL,101,DK3,3,Composition I,10,12,0,MWF,14:00,14:50,Beadle Hall 205,
75757,CSC,300,D05,3,Data Structures,16,25,0,MWF,08:00,08:50,East Hall 003,
79231,GEOG,132,DH1,3,Physical Geography: Natural Landscapes,18,20,0,MWF,14:00,14:50,Ruth Habeger Science Center 121,
73575,SOC,100,D01,3,Introduction to Sociology,20,25,0,TuTh,13:00,14:15,Beadle Hall 206,
73568,SEED,303,D01,1,Sec/Mid Content Area: Math,15,15,0,F,08:00,08:50,Kennedy Center 105,
79214,ARTD,442,D01,3,2D Digital Animation III,18,25,0,TuTh,11:00,12:15,Kennedy Center 112,
77192,MATH,114,D03,3,College Algebra,32,35,0,TuTh,09:30,10:45,Ruth Habeger Science Center 114,
74934,CSC,163,D01,3,Hardware Virtualization and Data Communication,17,25,0,MWF,08:00,08:50,East Hall 018,
74119,CSC,428,D02,3,Reverse Engineering,0,25,0,TuTh,14:30,15:45,Beacom Institute of Technology 231,
74439,PE,354,D01,3,Prevention and Care of Athletic Injuries,6,25,0,TuTh,11:00,12:15,Kennedy Center 122,
75725,CMST,101,D03,3,Foundations of Communication,23,24,0,MWF,11:00,11:50,Beadle Hall 206,
71213,DAD,222,D02,3,Audio Production I: Foundations,14,18,0,MWF,09:00,09:50,Tunheim Classroom Building 209,
70730,ENGL,101,D01,3,Composition I,11,12,0,MWF,10:00,10:50,Beadle Hall 305,
72823,CIS,123,D01,3,Problem Solving & Programming,17,25,0,MWF,14:00,14:50,East Hall 003,
72965,CIS,372,D01,3,Programming for Analytics,7,25,0,TuTh,11:00,12:15,East Hall 003,
