CRN,Sub,Num,Seq,Crd,Desc,Seats,Waitlist,Days,Time,Room,Faculty
70346,ACCT,210,D01,3,Principles of Accounting I,18/25,0,MWF,1100-1150,East Hall 010,Erich Matthew Eischen
76192,ACCT,210,D02,3,Principles of Accounting I,21/25,0,TuTh,1300-1415,East Hall 003,Wendy Simmermon
70375,ACCT,210,DT1,3,Principles of Accounting I,7/25,0,,,,Wendy Simmermon
70377,ACCT,211,D01,3,Principles of Accounting II,9/25,0,MWF,1200-1250,East Hall 010,Erich Matthew Eischen
79163,ACCT,211,DT1,3,Principles of Accounting II,14/25,0,,,,Erich Matthew Eischen
80665,ACCT,310,D01,3,Intermediate Accounting I,10/25,0,MWF,0900-0950,East Hall 010,Erich Matthew Eischen
80666,ACCT,310,DT1,3,Intermediate Accounting I,13/25,0,,,,Erich Matthew Eischen
80669,ACCT,478,DT1,3,Tax Compliance and Planning,20/25,0,,,,Erich Matthew Eischen
80670,ACCT,480,D01,3,Advanced Accounting,25/25,0,MWF,1200-1250,East Hall 003,Scott K Morstad
80671,ACCT,480,DT1,3,Advanced Accounting,24/25,0,,,,Scott K Morstad
70385,ART,111,D01,3,Drawing I,24/24,0,TuTh,1100-1330,Beadle Hall 302,Alan Montgomery
81235,ART,111,DT1,3,Drawing I,30/30,0,,,,Alan Montgomery
70722,ART,121,D01,3,Design I 2D,22/24,0,MWF,1400-1540,Beadle Hall 303,Alan Montgomery
80637,ART,121,D02,3,Design I 2D,23/24,0,MWF,1000-1140,Beadle Hall 303,Wendy M Romero
70783,ART,121,DT1,3,Design I 2D,27/30,0,,,,Alan Montgomery
70786,ART,123,D01,3,Three Dimensional Design,11/18,0,TuTh,1100-1329,Beadle Hall 006,Tim Murray
77187,ART,213,D02,3,Figure Drawing,0/18,0,TuTh,1430-1545,Beacom Institute of Technology 114,Daniel Lee Welynn
74408,ART,231,D01,3,Painting I,10/18,0,TuTh,1600-1830,Beadle Hall 302,Wendy M Romero
70828,ARTD,185,D01,3,Introduction to Animation,24/30,0,MW,1400-1515,Beacom Institute of Technology 114,Daniel Lee Welynn
79209,ARTD,186,D01,3,"3-D Animation, Modeling, and Concepts",22/30,0,MWF,0800-0940,Beacom Institute of Technology 114,Konrad N Lightner
79210,ARTD,186,D02,3,"3-D Animation, Modeling, and Concepts",14/30,0,MWF,1000-1140,Beacom Institute of Technology 114,Konrad N Lightner
76514,ARTD,245,DT1,3,History of Graphics,23/30,0,,,,Thomas M Jones
71084,ARTD,280,D01,3,Digital Photography I,6/20,0,MWF,1000-1140,Beadle Hall 108,Thomas M Jones
80638,ARTD,280,DT1,3,Digital Photography I,16/20,0,,,,Thomas M Jones
71092,ARTD,282,D02,3,2-D Design on Computers I,2/20,0,MW,1400-1515,Beadle Hall 108,Wendy M Romero
79211,ARTD,282,DT1,3,2-D Design on Computers I,14/20,0,,,,Joseph A Staudenbaur
71094,ARTD,286,D01,3,Motion Graphics and Compositing,13/20,0,TuTh,0930-1045,Beadle Hall 108,Tim Murray
79212,ARTD,350,D01,3,Background Design/Character Design,20/25,0,TuTh,1300-1415,Beacom Institute of Technology 114,Daniel Lee Welynn
79213,ARTD,441,D01,3,3-D Design/Production,15/25,0,TuTh,0800-0915,Beacom Institute of Technology 114,Konrad N Lightner
79214,ARTD,442,D01,3,2D Digital Animation III,17/25,0,TuTh,1100-1215,Kennedy Center 112,Daniel Lee Welynn
70437,ARTD,480,D01,3,Digital Photography III,10/20,0,W,1600-1830,Beadle Hall 108,Thomas M Jones
70438,ARTD,498,D01,3,Research,25/25,0,,,,Thomas M Jones
74849,ARTH,211,DT1,3,History of World Art I,24/30,0,,,,Joseph A Staudenbaur
70682,BIOL,101,D01,2,Biology Survey I,18/25,0,MW,0800-0850,Ruth Habeger Science Center 135,Kristel K Bakker
76218,BIOL,101,D02,2,Biology Survey I,21/25,0,TuTh,0900-0950,Ruth Habeger Science Center 135,Nevine M Nawar
76236,BIOL,101,D03,2,Biology Survey I,21/25,0,MW,0800-0850,Ruth Habeger Science Center 135,Kristel K Bakker
76237,BIOL,101,D04,2,Biology Survey I,22/25,0,TuTh,0900-0950,Ruth Habeger Science Center 135,Nevine M Nawar
70720,BIOL,101,DEM,2,Biology Survey I,25/25,0,,,Off Campus MADIHS,Kristel K Bakker/Maxine Unterbrunner
70691,BIOL,101,DT1,2,Biology Survey I,22/50,0,,,,Nevine M Nawar
70696,BIOL,101L,D01,1,Biology Survey I Lab,18/25,0,Tu,1300-1450,Ruth Habeger Science Center 106,Kristel K Bakker
70700,BIOL,101L,D02,1,Biology Survey I Lab,21/25,0,Tu,1030-1225,Ruth Habeger Science Center 106,Nevine M Nawar
70707,BIOL,101L,D03,1,Biology Survey I Lab,21/25,0,Tu,0800-0950,Ruth Habeger Science Center 106,Kristel K Bakker
70711,BIOL,101L,D04,1,Biology Survey I Lab,22/25,0,M,1300-1450,Ruth Habeger Science Center 106,Nevine M Nawar
70729,BIOL,101L,DEM,1,Biology Survey I Lab,25/25,0,,,Off Campus MADIHS,Kristel K Bakker/Maxine Unterbrunner
70715,BIOL,101L,DT1,1,Biology Survey I Lab,1/25,0,,,,Nevine M Nawar
70716,BIOL,101L,DT2,1,Biology Survey I Lab,22/25,0,,,,Nevine M Nawar
70757,BIOL,103,D01,2,Biology Survey II,34/48,0,MW,1000-1050,Ruth Habeger Science Center 106,Nevine M Nawar
70766,BIOL,103L,D01,1,Biology Survey II Lab,18/24,0,Th,1300-1450,Ruth Habeger Science Center 106,Nevine M Nawar
70779,BIOL,103L,D02,1,Biology Survey II Lab,16/24,0,W,1230-1425,Ruth Habeger Science Center 106,Nevine M Nawar
70785,BIOL,151,D01,3,General Biology I,54/60,0,MWF,1100-1150,Ruth Habeger Science Center 135,Kristel K Bakker
70790,BIOL,151L,D01,1,General Biology I Lab,30/30,0,Th,0800-0950,Ruth Habeger Science Center 109,Trinity Lynn Faythe Atkins
70811,BIOL,151L,D02,1,General Biology I Lab,24/30,0,Th,1030-1225,Ruth Habeger Science Center 109,Trinity Lynn Faythe Atkins
77880,BIOL,221,D01,3,Human Anatomy,12/48,0,MWF,1100-1150,Tunheim Classroom Building 203,Alex A Dececchi
77881,BIOL,221L,D01,1,Human Anatomy Lab,8/24,0,Tu,1300-1450,Ruth Habeger Science Center 109,Alex A Dececchi
77882,BIOL,221L,D02,1,Human Anatomy Lab,4/24,0,Tu,1030-1225,Ruth Habeger Science Center 109,Alex A Dececchi
81269,BIOL,331,DT1,3,Microbiology,3/25,0,,,,
80714,BIOL,331L,D01,1,Microbiology Lab,3/25,0,Tu,0800-0950,Ruth Habeger Science Center 101,Trinity Lynn Faythe Atkins
80708,BIOL,492,D01,3,Topics: Cells and Tissues,16/20,0,MWF,1000-1050,Ruth Habeger Science Center 109,Kristel K Bakker
77954,BIOL,492,D04,4,Top: Human Gross Anatomy,5/10,0,MWF,1000-1050,Ruth Habeger Science Center 106,Alex A Dececchi
74870,BIOL,498,D01,1 TO 12,Research,10/10,0,,,,Kristel K Bakker
70840,BIOL,498,D02,1 TO 12,Research,10/10,0,,,,Alex A Dececchi
70439,BADM,101,D01,3,Survey of Business,39/40,0,TuTh,1430-1545,East Hall 108,Wendy Simmermon
70440,BADM,101,DT1,3,Survey of Business,18/25,0,,,,Wendy Simmermon
77905,BADM,201,D01,3,Fundamentals of AI in Organizations,17/25,0,TuTh,0930-1045,Tunheim Classroom Building 111,Ganga Prasad Basyal
77906,BADM,201,DT1,3,Fundamentals of AI in Organizations,25/25,0,,,,Ganga Prasad Basyal
70764,BADM,220,D01,3,Business Statistics,21/25,0,TuTh,1430-1545,East Hall 217,Daniel A Talley
70775,BADM,220,DT1,3,Business Statistics,0/25,4,,,,Daniel A Talley
70788,BADM,310,D01,3,Business Finance,9/25,0,MWF,0900-0950,East Hall 018,Yen-Ling Chang
70797,BADM,310,DT1,3,Business Finance,11/25,0,,,,Yen-Ling Chang
70827,BADM,321,D01,3,Business Statistics II,1/25,0,MWF,1100-1150,East Hall 217,
