CRN,Sub,Num,Seq,Crd,Desc,Seats,Waitlist,Days,Time,Room,Faculty
50447,ACCT,210,DT1,3,Principles of Accounting I,15/25,0,,,,Erich Matthew Eischen
50610,ACCT,211,DT1,3,Principles of Accounting II,6/25,0,,,,Erich Matthew Eischen
56394,ACCT,725,DT1,3,Accounting for Managers,12/25,0,,,,Scott K Morstad
52454,ART,111,DT1,3,Drawing I,28/30,0,,,,Alan Montgomery
50480,ART,121,DT1,3,Design I 2D,25/30,0,,,,Tim Murray
54195,ARTD,292,DT1,3,Topics: Layout and Composition,27/30,0,,,,Daniel Lee Welynn
56428,ARTD,442,DT1,3,2D Digital Animation III,22/30,0,,,,Daniel Lee Welynn
54196,ARTH,100,DT1,3,Art Appreciation,6/30,0,,,,Thomas M Jones
54734,BIOL,101,DT1,2,Biology Survey I,0/25,4,,,,Nevine M Nawar
54735,BIOL,101L,DT1,1,Biology Survey I Lab,0/25,4,,,,Nevine M Nawar
54228,BIOL,106,DT1,2,Human Health and Biology,0/25,4,,,,Nevine M Nawar
54229,BIOL,106L,DT1,1,Health and Human Biology Lab,0/25,4,,,,Nevine M Nawar
55126,BIOL,165,DT1,2,General Zoology,12/25,0,,,,Alex A Dececchi
55127,BIOL,165L,DT1,1,General Zoology Lab,12/25,0,,,,Alex A Dececchi
54732,BIOL,201,DT1,2,General Botany,9/20,0,,,,Andrew E Sathoff
56446,BIOL,201L,DT1,1,General Botany Lab,9/20,0,,,,Andrew E Sathoff
54905,BIOL,235,DT1,2,Introduction to Biotechnology,7/25,0,,,,Andrew E Sathoff
54906,BIOL,235L,DT1,1,Introduction to Biotechnology Lab,7/25,0,,,,Andrew E Sathoff
56670,BIOL,592,DD1,1,Top: Ecology/Hist/Econ Prairie,18/20,0,,,,Kristel K Bakker
55867,BADM,101,DT1,3,Survey of Business,17/25,0,,,,Wendy Simmermon
55868,BADM,321,DT1,3,Business Statistics II,23/25,0,,,,Ganga Prasad Basyal
52522,BADM,334,DT1,3,Small Business Management,21/25,0,,,,Michael A Roach
50444,BADM,344,DT1,3,Managerial Communications,14/25,0,,,,Wendy Simmermon
50465,BADM,360,DT1,3,Organization and Management,13/25,0,,,,Wendy Simmermon
55871,BADM,370,DT1,3,Marketing,18/25,0,,,,Deb Tech
50033,BADM,405,DT1,3,International Trade & Finance,12/25,0,,,,Daniel A Talley
56392,BADM,475,DT1,3,Consumer Behavior,17/25,0,,,,Deb Tech
